State,Unemployment-rate,Year
Alabama,4,2007
Alabama,5.7,2008
Alabama,11,2009
Alabama,10.5,2010
Alabama,9.6,2011
Alabama,8,2012
Alabama,7.2,2013
Alabama,6.8,2014
Alabama,6.1,2015
Alabama,5.8,2016
Alabama,4.4,2017
Alabama,3.9,2018
Alaska,6.3,2007
Alaska,6.7,2008
Alaska,7.7,2009
Alaska,7.9,2010
Alaska,7.6,2011
Alaska,7.1,2012
Alaska,7,2013
Alaska,6.9,2014
Alaska,6.5,2015
Alaska,6.9,2016
Alaska,7,2017
Alaska,6.6,2018
Arizona,3.9,2007
Arizona,6.2,2008
Arizona,9.9,2009
Arizona,10.4,2010
Arizona,9.5,2011
Arizona,8.3,2012
Arizona,7.7,2013
Arizona,6.8,2014
Arizona,6.1,2015
Arizona,5.4,2016
Arizona,4.9,2017
Arizona,4.8,2018
Arkansas,5.3,2007
Arkansas,5.5,2008
Arkansas,7.8,2009
Arkansas,8.2,2010
Arkansas,8.3,2011
Arkansas,7.6,2012
Arkansas,7.2,2013
Arkansas,6,2014
Arkansas,5,2015
Arkansas,4,2016
Arkansas,3.7,2017
Arkansas,3.7,2018
California,5.4,2007
California,7.3,2008
California,11.2,2009
California,12.2,2010
California,11.7,2011
California,10.4,2012
California,8.9,2013
California,7.5,2014
California,6.2,2015
California,5.5,2016
California,4.8,2017
California,4.2,2018
Colorado,3.7,2007
Colorado,4.8,2008
Colorado,7.3,2009
Colorado,8.7,2010
Colorado,8.4,2011
Colorado,7.9,2012
Colorado,6.9,2013
Colorado,5,2014
Colorado,3.9,2015
Colorado,3.2,2016
Colorado,2.7,2017
Colorado,3.3,2018
Connecticut,4.5,2007
Connecticut,5.7,2008
Connecticut,7.9,2009
Connecticut,9.1,2010
Connecticut,8.8,2011
Connecticut,8.3,2012
Connecticut,7.8,2013
Connecticut,6.6,2014
Connecticut,5.7,2015
Connecticut,5.1,2016
Connecticut,4.7,2017
Connecticut,4.1,2018
Delaware,3.4,2007
Delaware,4.9,2008
Delaware,8.3,2009
Delaware,8.4,2010
Delaware,7.5,2011
Delaware,7.2,2012
Delaware,6.7,2013
Delaware,5.7,2014
Delaware,4.9,2015
Delaware,4.5,2016
Delaware,4.5,2017
Delaware,3.8,2018
Florida,4,2007
Florida,6.3,2008
Florida,10.4,2009
Florida,11.1,2010
Florida,10,2011
Florida,8.5,2012
Florida,7.2,2013
Florida,6.3,2014
Florida,5.5,2015
Florida,4.8,2016
Florida,4.2,2017
Florida,3.6,2018
Georgia,4.5,2007
Georgia,6.2,2008
Georgia,9.9,2009
Georgia,10.5,2010
Georgia,10.2,2011
Georgia,9.2,2012
Georgia,8.2,2013
Georgia,7.1,2014
Georgia,6,2015
Georgia,5.4,2016
Georgia,4.7,2017
Georgia,3.9,2018
Hawaii,2.8,2007
Hawaii,4.3,2008
Hawaii,7.2,2009
Hawaii,6.9,2010
Hawaii,6.8,2011
Hawaii,6,2012
Hawaii,4.9,2013
Hawaii,4.4,2014
Hawaii,3.6,2015
Hawaii,3,2016
Hawaii,2.4,2017
Hawaii,2.4,2018
Idaho,3.1,2007
Idaho,5.1,2008
Idaho,8.8,2009
Idaho,9,2010
Idaho,8.3,2011
Idaho,7.2,2012
Idaho,6.1,2013
Idaho,4.8,2014
Idaho,4.2,2015
Idaho,3.8,2016
Idaho,3.2,2017
